Id,Sales
1,3740
2,4654
3,4381
4,5402
5,0
6,3530
7,3627
8,3847
9,4102
10,3650
11,4359
12,0
13,4475
14,5384
15,4978
16,5881
17,5881
18,5738
19,0
20,5208
21,4602
22,3317
23,3346
24,3346
25,3846
26,0
27,3530
28,3971
29,4495
30,4495
31,5190
32,5623
33,0
34,3530
35,3695
36,3769
37,3464
38,3558
39,3854
40,0
41,4945
42,5220
43,4154
44,5568
45,5433
46,5655
47,0
48,5509
49,7537
50,8034
51,7928
52,8761
53,0
54,4258
55,6222
56,6440
57,6185
58,6180
59,6740
60,0
61,4482
62,6679
63,8659
64,9218
65,9218
66,15689
67,0
68,5802
69,6309
70,5702
71,6757
72,6757
73,5840
74,0
75,4258
76,7349
77,6947
78,8226
79,8854
80,10040
81,0
82,4258
83,6222
84,5656
85,5600
86,5600
87,6736
88,0
89,6024
90,6679
91,8010
92,7499
93,8714
94,11091
95,0
96,3182
97,8614
98,10095
99,11072
100,12415
101,0
102,5572
103,9203
104,9608
105,9204
106,9207
107,10790
108,0
109,6559
110,9689
111,11976
112,11024
113,11024
114,14428
115,0
116,5693
117,5235
118,8214
119,8214
120,8214
121,7917
122,0
123,5572
124,11115
125,5485
126,5485
127,11266
128,14869
129,0
130,5572
131,9203
132,9169
133,9169
134,9169
135,8409
136,0
137,9499
138,11960
139,11960
140,9952
141,13813
142,15399
143,0
144,10015
145,8808
146,8808
147,10465
148,9117
149,0
150,3288
151,5703
152,5602
153,5322
154,5365
155,6740
156,0
157,3418
158,5904
159,6978
160,8523
161,8523
162,9775
163,0
164,3502
165,5235
166,5016
167,5005
168,5005
169,5840
170,0
171,3288
172,5039
173,6643
174,6643
175,7358
176,8956
177,0
178,3288
179,5703
180,5703
181,4996
182,4996
183,10894
184,0
185,3670
186,5904
187,7932
188,7932
189,10374
190,9117
191,0
192,4910
193,8045
194,7444
195,7089
196,11968
197,0
198,5076
199,5076
200,6397
201,5985
202,5985
203,7884
204,0
205,6223
206,8538
207,7865
208,6668
209,6668
210,12046
211,0
212,6970
213,6859
214,6471
215,5649
216,5873
217,6121
218,0
219,5330
220,6972
221,7648
222,7356
223,8539
224,11397
225,0
226,5987
227,5076
228,6471
229,5649
230,5873
231,7758
232,0
233,6046
234,8538
235,8004
236,7978
237,7438
238,12227
239,0
240,8120
241,6070
242,6726
243,6124
244,7386
245,0
246,3562
247,6152
248,5853
249,4865
250,5476
251,6143
252,0
253,5120
254,5176
255,5915
256,8679
257,8679
258,7707
259,0
260,5332
261,5235
262,6152
263,4896
264,4896
265,4264
266,0
267,3562
268,4682
269,7442
270,5259
271,6514
272,7674
273,0
274,3562
275,6152
276,6152
277,6479
278,6479
279,4522
280,0
281,4871
282,5683
283,5683
284,5811
285,6201
286,7438
287,0
288,3155
289,7915
290,9645
291,8144
292,9241
293,0
294,4712
295,7185
296,6595
297,6907
298,6620
299,3681
300,0
301,5372
302,7336
303,7689
